feature,random_forest,pearson_correlation,mutual_info,random_forest_norm,pearson_correlation_norm,mutual_info_norm,consensus_score,rank
systolic_bp,0.4458654315145524,0.42829338144733553,0.11030884875177582,1.0,1.0,1.0,1.0,1
diastolic_bp,0.17085230530489876,0.3428131708590813,0.07695513125206976,0.37798104540619937,0.7968322872212108,0.6976333460359035,0.6241488928877712,2
age_years,0.13603159701209236,0.2414380344810066,0.03789077948106967,0.29922429343213003,0.5558858219652938,0.34349718911792815,0.399535768171784,3
cholesterol,0.09317429332186246,0.22145161517362474,0.028093974185286363,0.2022905375582983,0.5083824867561902,0.2546846830801875,0.32178590246489197,4
bmi,0.05757328158994962,0.19214935046283776,0.030605178188829907,0.12176891153567564,0.4387374302037997,0.27744989214509597,0.27931874462819045,5
weight,0.03800709310227601,0.18207467980668812,0.018010935055273514,0.07751451438661046,0.4147921476626876,0.16327733685085316,0.21852799963338376,6
gluc,0.012020215901414368,0.08986800754583929,0.0,0.018737937383101512,0.19563711075693818,0.0,0.07145834938001323,7
active,0.008878426882423917,0.038686305255826385,0.00516526868604239,0.01163190448903188,0.07398942974601089,0.046825515309887926,0.04414894984831023,8
height,0.024790314802611763,0.012201287483636228,0.00760310028469835,0.04762108080996031,0.011040351279177492,0.06892557007649806,0.042529000721878624,9
alco,0.003735615085973489,0.007620211536781842,0.013365679704762323,0.0,0.00015213848953536817,0.12116597948400902,0.04043937265784813,10
smoke,0.004800680188303829,0.017873757871655842,0.0025085242415465725,0.0024089420409003095,0.02452256928739699,0.02274091580079326,0.016557475709696852,11
gender_binary,0.004270745293641014,0.007556201217690334,0.0023695021294771745,0.0012103463457637422,0.0,0.021480616979415522,0.0075636544417264214,12
